Time (s)	Magnetic Field x (uT)	Magnetic Field y (uT)	Magnetic Field z (uT)	Absolute field (uT)
0.012035917	-3.115570068	-95.49124146	-349.0362549	361.8764861
0.021947917	4.154083252	-98.67686462	-344.6660156	358.5373653
0.031858917	3.268554688	-92.8495636	-351.8675842	363.9265334
0.041770917	-1.500930786	-98.7800293	-343.1006775	357.0403645
0.051681917	10.90234375	-93.97706604	-351.3536377	363.8680101
0.061592917	-5.114639282	-96.21565247	-346.6314392	359.7734926
0.071499917	4.711975098	-98.01171875	-347.0801697	360.6842718
0.081411917	3.294433594	-93.8603363	-351.1365051	363.4796573
0.091328917	-1.023803711	-98.21357727	-343.9152222	357.6655351
0.101239917	10.31526184	-94.28262329	-350.3747864	362.9849978
0.111149917	-6.654586792	-97.49703979	-347.5615234	361.038736
0.121061917	6.51121521	-96.30360413	-346.7488403	359.9326859
0.130974917	1.846847534	-94.01182556	-350.7218933	363.108084
0.140886917	0.835266113	-98.22468567	-343.763855	357.5225511
0.150797917	7.878372192	-93.67463684	-351.4478149	363.8029315
0.160708917	-5.907546997	-98.03317261	-347.5498657	361.1596755
0.170613917	7.823959351	-96.41403198	-347.2698364	360.4902484
0.180530917	1.195770264	-93.1730957	-351.4934692	363.6348643
0.190435917	1.731079102	-99.05787659	-343.7131348	357.7068333
0.200351917	6.947738647	-92.91984558	-352.0791016	364.2005801
0.210261917	-5.777832031	-97.74656677	-344.4980469	358.1433777
0.220171917	9.551101685	-96.33555603	-349.2055969	362.3759261
0.230081917	0.854949951	-93.80149841	-349.3696899	361.7438766
0.239993917	1.779403687	-98.69021606	-344.3456421	358.2134088
0.249899917	6.498336792	-93.60792542	-351.8565063	364.1533649
0.259814917	-5.608474731	-97.15632629	-345.5979309	359.0386283
0.269724917	11.55210876	-94.52813721	-348.4631958	361.2417733
0.279634917	-1.018096924	-95.13789368	-348.7241211	361.4702864
0.289542917	3.23374939	-97.61341858	-344.8596802	358.4229842
0.299452917	5.062667847	-93.72097778	-352.5673523	364.8465296
0.309362917	-3.190261841	-98.40811157	-344.8701782	358.6499324
0.319273917	11.11643982	-93.71621704	-348.7388611	361.2825733
0.329183917	-2.247909546	-95.39202881	-349.1333008	361.9375001
0.339092917	3.790817261	-98.26960754	-344.4930115	358.2551061
0.349001917	3.602722168	-92.76947021	-352.6183472	364.6352328
0.358912917	-2.539489746	-99.24993896	-343.4538269	357.5157767
0.368822917	11.11416626	-93.93400574	-350.2728271	362.8197563
0.378730917	-4.078781128	-95.87385559	-346.1234436	359.179441
0.388641917	4.138946533	-98.10057068	-346.9369507	360.5635875
0.398550917	3.26940918	-93.32144165	-351.66745	363.8537836
0.408460917	-1.661499023	-98.27987671	-343.7359619	357.5137847
0.418369917	10.9491272	-94.42153931	-350.265686	362.934376
0.428278917	-6.172592163	-96.74232483	-347.3856506	360.6576889
0.438185917	6.042816162	-96.44447327	-346.5493164	359.7700387
0.448093917	2.325790405	-93.9092865	-350.9384155	363.2934556
0.458002917	0.135070801	-98.05580139	-342.885376	356.6305364
0.467910917	8.536010742	-93.55175781	-350.2935181	362.6711233
0.477820917	-5.77746582	-97.86264038	-347.2641296	360.8363219
0.487729917	6.960006714	-96.65756226	-346.4805298	359.7775473
0.497637917	1.521957397	-93.49856567	-350.8156128	363.0645842
0.507547917	1.371963501	-98.97941589	-342.9682312	356.9678062
0.517456917	7.61151123	-92.30177307	-351.5744019	363.5685801
0.527366917	-6.258850098	-98.74415588	-344.9174805	358.828162
0.537275917	8.779541016	-96.4671936	-348.2052002	361.4275325
0.547184917	0.732299805	-93.48292542	-349.1746216	361.472696
0.557094042	1.793457031	-98.69577026	-343.6794739	357.5746808
0.567003042	7.353057861	-93.6781311	-351.1740417	363.5283583
0.576912042	-5.925308228	-97.01754761	-345.6210327	359.0284279
0.586820042	11.17150879	-95.28025818	-347.4530029	360.4534914
0.596729042	-0.733306885	-95.25567627	-348.918457	361.6880856
0.606639042	2.436355591	-97.82936096	-343.9746704	357.6242352
0.616548042	5.595748901	-94.03475952	-352.1379089	364.5201713
0.626457042	-3.695236206	-98.64656067	-344.6853027	358.5425451
0.636367042	10.71148682	-94.08578491	-348.272583	360.916421
0.646276042	-1.450790405	-95.36361694	-348.8023682	361.6067149
0.656186042	3.206756592	-98.25917053	-344.3338623	358.0935026
0.666094042	3.850357056	-92.94812012	-352.0049133	364.09015
0.676003042	-2.976089478	-99.05506897	-343.6574707	357.6607624
0.685912042	11.07359314	-93.90591431	-350.3132935	362.8503118
0.695822042	-3.604187012	-95.82675171	-346.1831055	359.219291
0.705733042	4.281417847	-98.31788635	-345.9373779	359.6629071
0.715643042	3.462219238	-92.77001953	-351.2099609	363.2722122
0.725554042	-2.03175354	-98.1104126	-344.0180054	357.7403655
0.735464042	11.23179626	-94.64086914	-349.7784424	362.5300072
0.745375042	-5.763549805	-96.70188904	-347.9524231	361.1860498
0.755286042	4.977935791	-97.02233887	-346.1707153	359.5445428
0.765196042	2.328796387	-93.88262939	-351.6246033	363.9494924
0.775107042	-0.786972046	-97.95294189	-343.2384338	356.9426013
0.785017042	9.050186157	-93.8115387	-350.6398315	363.0851169
0.794927042	-5.127929688	-97.59414673	-347.7997742	361.2694231
