Time (s)	Magnetic Field x (uT)	Magnetic Field y (uT)	Magnetic Field z (uT)	Absolute field (uT)
0.009756292	10.22589111	-79.08892822	-396.5480957	404.4873541
0.019664292	-1.928085327	-84.07011414	-391.7111816	400.6359338
0.029573292	12.84996033	-78.85018921	-390.6713257	398.7562646
0.039483292	2.738525391	-80.61506653	-393.5355835	401.7169948
0.049392292	4.906799316	-82.67060852	-389.0253906	397.7427067
0.059300292	8.226303101	-79.00749207	-395.6075439	403.5036365
0.069208292	-0.047180176	-83.57241821	-391.2062378	400.0333384
0.079116292	12.83746338	-78.65052795	-391.4506836	399.4800917
0.089025292	1.626342773	-80.5660553	-394.9319458	403.0691951
0.098934292	5.706970215	-82.67866516	-388.973175	397.703988
0.108842292	7.416915894	-78.45707703	-396.4997559	404.2555874
0.118751292	0.44960022	-83.57841492	-389.5440674	398.4095054
0.128659292	13.18785095	-78.3821106	-393.184845	401.1383764
0.138567292	-0.287811279	-81.26693726	-392.8690491	401.1863503
0.148476292	7.002838135	-82.37335205	-391.0785522	399.7209563
0.158385292	6.990493774	-78.87207031	-396.3768921	404.2082521
0.168292292	1.642868042	-83.45549011	-389.701416	398.5407275
0.178199292	13.14109802	-78.97625732	-392.8330688	400.908665
0.188106292	-1.836685181	-81.59393311	-394.219696	402.579324
0.198014292	8.15423584	-81.96327209	-390.8094482	399.3951607
0.207922292	5.978485107	-78.73219299	-395.980896	403.7763867
0.217830292	2.454376221	-83.33877563	-388.541626	397.3864248
0.227738292	12.55371094	-79.32151794	-394.9681702	403.0500643
0.237645292	-2.615478516	-82.39909363	-393.0045166	401.5582167
0.247552292	9.081039429	-81.69311523	-391.0129089	399.5589134
0.257458292	6.057617188	-79.27198792	-395.7229004	403.6302227
0.267365292	3.365188599	-82.61277771	-388.7379761	397.4335285
0.277272292	11.81785583	-78.82121277	-395.1304016	403.0886746
0.287179292	-3.012481689	-82.69195557	-393.5310364	402.1364335
0.297086292	11.36334229	-79.94779968	-391.1669922	399.4150623
0.306992292	4.800888062	-80.19145203	-394.9942932	403.0808966
0.316898292	4.530273438	-82.822052	-388.6508789	397.4034743
0.326804292	10.51199341	-79.25727844	-395.6818237	403.6784907
0.336710292	-1.091033936	-83.06387329	-391.8808899	400.5888531
0.346617292	11.6739502	-79.64787292	-391.1708374	399.3678615
0.356524292	4.366104126	-80.18586731	-394.9722595	403.0532496
0.366430292	4.765319824	-82.94671631	-389.0640869	397.8363102
0.376336292	9.207580566	-78.66107178	-396.7268982	404.5547868
0.386244292	-1.245117188	-84.18089294	-390.9091797	399.8724294
0.396150292	13.06391907	-78.55976868	-391.5007935	399.5186786
0.406057292	1.960693359	-80.57333374	-392.8651733	401.0473175
0.415965292	5.684555054	-82.33587646	-390.0288391	398.6652807
0.425873292	7.494476318	-78.74645996	-395.9842529	403.8077522
0.435782292	0.018081665	-83.49131775	-390.6753235	399.497195
0.445690292	13.11219788	-78.71304321	-391.8250427	399.8681495
0.455599292	0.430038452	-80.83955383	-395.4370422	403.6157489
0.465508292	6.305236816	-83.20016479	-389.825592	398.6552591
0.475416292	7.056808472	-78.65711975	-396.0066528	403.8044206
0.485324292	1.285934448	-83.54086304	-388.5236206	397.4057538
0.495232292	13.48010254	-78.7293396	-394.0830078	402.0963058
0.505141292	-1.575454712	-81.2482605	-392.8735962	401.1900104
0.515048292	6.873703003	-82.32901001	-390.7993164	399.4363771
0.524956292	6.535079956	-79.176651	-395.6306152	403.5284786
0.534865292	1.562820435	-83.4299469	-389.0093994	397.8584061
0.544774292	12.6934967	-79.59765625	-393.0636597	401.243009
0.554683292	-2.322921753	-82.52798462	-393.9360352	402.4945515
