Time (s)	Magnetic Field x (uT)	Magnetic Field y (uT)	Magnetic Field z (uT)	Absolute field (uT)
0.004459292	-6.499801636	-71.41645813	-403.4157104	409.7399094
0.014370292	-7.062011719	-71.47792053	-403.3416138	409.6869812
0.024281292	-6.176467896	-71.30693054	-403.0311279	409.3371681
0.034192292	-6.925628662	-71.70159912	-403.5151978	409.8946187
0.044104292	-6.831970215	-71.81384277	-402.7521973	409.1616261
0.054014292	-7.025512695	-71.72683716	-402.778717	409.175747
0.063923292	-6.796905518	-71.63114929	-402.6351929	409.013836
0.073833292	-5.995498657	-71.54411316	-403.2541504	409.5954296
0.083743292	-6.612533569	-71.70874023	-403.3104858	409.6891712
0.093654292	-6.218978882	-71.42767334	-402.4041138	408.7415553
0.103565292	-6.211837769	-71.53851318	-403.5630798	409.9018239
0.113475292	-6.38192749	-71.29585266	-403.361084	409.6632662
0.123386292	-5.946670532	-71.41394043	-402.7087402	409.0350147
0.133295292	-6.155151367	-71.10154724	-403.1490479	409.417233
0.143206292	-6.139343262	-71.60908508	-402.3598022	408.7284711
0.153117292	-5.839263916	-70.9442749	-403.0326538	409.2707016
0.163026292	-5.735122681	-71.46633911	-402.9001465	409.22959
0.172936292	-5.207855225	-71.32794189	-402.6546021	408.9566305
0.182845292	-5.261184692	-71.35470581	-403.159729	409.4593279
0.192754292	-5.247390747	-71.57623291	-402.2827454	408.6344325
0.202664292	-5.650878906	-71.38896179	-403.0879211	409.3997905
0.212574292	-5.55406189	-71.45747375	-401.7194824	408.0631823
0.222484292	-4.713302612	-71.49386597	-402.3768311	408.7061319
0.232395292	-5.508560181	-71.83123779	-402.2536621	408.6539852
0.242304292	-5.25932312	-71.33430481	-402.5349731	408.8406146
0.252213292	-5.247848511	-71.58633423	-402.9433594	409.2865671
0.262123292	-5.311660767	-71.43008423	-401.7383423	408.0737266
0.272036833	-4.99130249	-71.50946045	-403.0758057	409.4003189
0.281946833	-5.765075684	-71.30958557	-403.0848999	409.3845742
0.291855833	-5.474853516	-71.09274292	-402.8223877	409.0843778
0.301763833	-5.89730835	-71.42034912	-403.3493347	409.6661206
0.311673833	-5.673217773	-71.58329773	-402.139679	408.5005206
0.321583833	-5.390457153	-71.43621826	-402.0633545	408.3958023
0.331493833	-5.849151611	-71.39920044	-402.524231	408.8493792
0.341403833	-5.334136963	-71.22729492	-402.5335693	408.8215442
0.351313833	-5.941162109	-71.33390808	-402.486084	408.801751
0.361222833	-5.524871826	-71.30267334	-401.9866333	408.2987249
0.371132833	-5.334518433	-71.43737793	-402.635498	408.9585558
0.381043833	-5.866287231	-71.36502075	-402.0189819	408.3462273
0.390953833	-5.241470337	-71.09088135	-401.7709351	408.0456723
0.400864833	-5.601104736	-71.23913574	-402.2272034	408.5255316
0.410775833	-5.434555054	-71.19596863	-401.9748535	408.2672938
0.420686833	-5.275482178	-71.23674011	-403.2703857	409.5479311
0.430596833	-5.481323242	-71.13920593	-403.1743774	409.439141
0.440505833	-4.918792725	-71.39849854	-402.1040039	408.4232732
0.450415833	-5.307434082	-70.97654724	-403.1482544	409.3828943
0.460324833	-5.245635986	-71.21963501	-401.9343872	408.2291081
0.470232833	-5.170623779	-71.320755	-402.5716553	408.8732359
0.480141833	-5.628173828	-71.23617554	-402.2496033	408.547442
0.490050833	-4.845413208	-71.34793091	-402.2485352	408.5558582
0.499959833	-5.757263184	-71.44715881	-402.6307983	408.9613702
0.509867833	-5.368911743	-71.48658752	-401.8753052	408.2192038
0.519777833	-5.876861572	-71.48114014	-402.6362305	408.9743574
0.529687833	-5.795822144	-71.81045532	-402.3737183	408.7724822
0.539597833	-5.269989014	-71.44889832	-402.2579041	408.5879822
0.549506833	-5.84715271	-71.59886169	-402.8995972	409.2537985
0.559416833	-5.402709961	-71.52778625	-401.9192505	408.270128
0.569326833	-5.53755188	-71.27949524	-402.9000549	409.1941901
0.579236833	-5.873901367	-71.45881653	-401.6314697	407.9812528
0.589145833	-5.225952148	-71.44232178	-402.0272217	408.3591592
0.599055833	-5.553253174	-71.67926025	-403.1835938	409.5433619
0.608965833	-5.45942688	-71.36485291	-402.2212524	408.5396963
0.618875833	-5.160293579	-71.20677185	-403.3354797	409.6053493
0.628785833	-5.664428711	-71.72218323	-401.9193115	408.3078377
0.638696833	-5.046127319	-71.70199585	-402.1004639	408.4745067
0.648606833	-5.627746582	-70.96612549	-402.7380371	408.9814043
0.658516833	-5.418640137	-70.91471863	-401.7282715	407.9753217
0.668425833	-5.652572632	-71.35357666	-403.1229858	409.4281698
0.678335833	-5.507720947	-71.0826416	-402.2789917	408.5479948
0.688245833	-5.251846313	-71.26670837	-402.5215454	408.8155087
0.698155833	-5.574890137	-71.04934692	-402.7023315	408.9599698
0.708066833	-5.327468872	-71.15719604	-401.7348633	408.0228288
0.717977833	-5.654510498	-71.34562683	-402.9812622	409.2872703
0.727887833	-5.393463135	-71.08177185	-402.4213867	408.6865305
0.737795833	-5.152664185	-71.32868958	-402.9047241	409.2023321
0.747703833	-5.714828491	-71.24729919	-402.5625	408.8586593
0.757613833	-4.873214722	-71.3228302	-402.3366089	408.6385214
0.767524833	-5.797653198	-71.52867126	-403.3843994	409.7181193
0.777434833	-5.640319824	-71.22398376	-402.6967163	408.9857142
0.787345833	-5.054199219	-71.48670959	-402.598114	408.9268101
0.797255833	-5.774490356	-71.3782959	-402.4354248	408.7572348
0.807165833	-4.980773926	-71.49528503	-402.2669678	408.6013916
0.817076833	-5.331161499	-71.20388794	-403.4673462	409.7368843
0.826986833	-5.292114258	-71.23867798	-401.9491577	408.2475733
0.836897833	-5.303527832	-71.09085083	-402.9918213	409.2486341
0.846808833	-5.676345825	-71.23182678	-402.7452087	409.0353251
0.856720833	-5.241668701	-71.38708496	-402.4103394	408.726892
0.866631833	-5.671737671	-71.28945923	-402.7202759	409.0207528
0.876542833	-5.416717529	-71.42980957	-402.4285278	408.7545456
0.886453833	-5.368789673	-71.28900146	-403.0957947	409.3863277
0.896364833	-5.418029785	-71.3028717	-402.5997925	408.901024
0.906274833	-4.6040802	-71.26541138	-402.5220337	408.8079549
0.916184833	-5.465133667	-71.65411377	-403.3658447	409.7172005
0.926094833	-5.320968628	-71.35133362	-402.0818787	408.3982893
0.936002833	-5.527069092	-71.3397522	-402.9984741	409.3014523
0.945911833	-5.80015564	-70.77467346	-402.168457	408.3897208
0.955820833	-4.940689087	-71.00964355	-402.6104126	408.8544047
0.965729833	-5.788040161	-71.4329834	-403.1706848	409.4908712
0.975637833	-5.392532349	-71.14375305	-401.9428711	408.226144
0.985547833	-5.603881836	-71.21749878	-402.506897	408.7971841
0.995456833	-5.331817627	-71.33326721	-401.9070129	408.2231134
1.005365833	-5.47883606	-71.42179871	-402.369751	408.6961065
1.015275833	-5.739807129	-71.11529541	-403.3725891	409.6337099
1.025185833	-5.258682251	-71.29782104	-401.9697876	408.277777
1.035094833	-5.579421997	-71.31472778	-403.1795349	409.4760771
1.045004833	-5.786605835	-70.9655304	-402.2715454	408.5241579
1.054913833	-5.284927368	-71.09963989	-402.2824707	408.5514355
1.064821833	-5.926849365	-71.1153717	-402.7769165	409.0498357
1.074731833	-5.126693726	-71.47915649	-402.0892334	408.4253964
1.084640833	-5.259841919	-71.32174683	-402.9203491	409.2178701
1.094548833	-5.544815063	-71.24334717	-401.977478	408.2796252
1.104458833	-5.372756958	-70.91619873	-402.8726807	409.1019073
1.114368833	-5.888977051	-71.32991028	-402.5858765	408.8985499
1.124276833	-5.527511597	-71.39866638	-402.2012939	408.5268703
1.134185833	-5.960952759	-71.02488708	-402.8100281	409.0672148
1.144094833	-5.88420105	-71.3212738	-401.8071289	408.1302693
1.154004833	-5.376586914	-71.13357544	-402.6224365	408.8932864
1.163912833	-6.155410767	-71.30499268	-402.8789978	409.1867275
1.173820833	-5.417724609	-71.2268219	-402.4290161	408.7196165
1.183729833	-5.843460083	-71.36494446	-403.1387329	409.4483353
1.193639833	-5.497512817	-71.53240967	-402.0018616	408.3535294
1.203548833	-5.516891479	-71.07971191	-403.1660767	409.4211119
1.213455833	-5.903335571	-71.29443359	-402.4429932	408.751891
1.223365833	-5.291641235	-71.14006042	-402.4381104	408.7118084
1.233275833	-6.057617188	-71.00369263	-402.8579712	409.1121656
1.243184833	-5.788665771	-71.10514832	-402.4166565	408.6913459
1.253093833	-5.781585693	-70.9712677	-402.9628296	409.2058035
1.263002833	-6.087173462	-71.09580994	-402.3716431	408.6497363
1.272910333	-5.347091675	-71.12278748	-402.3305054	408.6035705
1.282818333	-5.654998779	-71.3573761	-402.5001221	408.8156093
1.292722333	-5.539581299	-71.45962524	-402.0134583	408.352771
